subject,analyze,test_ses,test_run,abs_min,abs_max,analysis_window_start,analysis_window_end
sp001,1,2,2,200,750,0.093,0.292
sp002,1,2,3,300,850,0.105,0.462
sp003,1,2,2,150,850,0.122,0.405
sp004,1,2,2,400,850,0.144,0.324
sp005,1,2,6,300,850,0.067,0.31
sp006,1,2,2,350,850,0.079,0.443
sp007,1,2,2,350,850,0.099,0.345
sp008,1,2,2,450,950,0.095,0.479
sp009,1,2,2,400,850,0.092,0.394
sp010,1,2,2,350,850,,
sp011,1,2,2,350,850,,
sp012,1,2,2,350,700,,
sp013,1,2,2,350,750,,
sp014,0,,,,,,
sp015,0,,,,,,
sp016,1,2,2,400,750,,